"tpc_num","journal","authors","year","parasite_species","genus","family","order","class","phylum","trait_type","sample_size_all_temps","num_temps_in_curve","cause_of_repeated_measures","same_experiment","measurement_metric","simplified_metric","sampling_location_available","mean_ann_temp","max_month_temp","min_month_temp","latitude","author_latitude","dist_zone","altitude_m","habitat","plant_anim_parasite","endotherm_in_cycle","stage_in_out_host","target_host","source"
157,"Journal of Helminthology","Scholz",1997,"Bothriocephalus_claviceps","Bothriocephalus","Bothriocephalidae","Bothriocephalidea","Cestoda","Platyhelminthes","development","",7,"other","no","min","min","yes, exact",7.8,22.8,-5.1,"50",".","temperate","350","freshwater","animal","no endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
229,"Nematology","Zhao, L. L., Wei, W., Kulhavy, D. L., Zhang, X. Y., Sun, J. H.",2007,"Bursaphelenchus_xylophilus","Bursaphelenchus","Aphelenchoididae","Tylenchida","Chromadorea","Nematoda","survival","",8,"metrics","yes","50%","mid","yes, exact",17.5,33.7,1.7,"29",".","temperate","560","terrestrial","plant","no endotherm in life cycle","outside host","outside host: targets plant","Kikuchi, T. et al. 2011. PLoS Pathogens, 7(9), p.e1002219."
230,"Nematology","Zhao, L. L., Wei, W., Kulhavy, D. L., Zhang, X. Y., Sun, J. H.",2007,"Bursaphelenchus_xylophilus","Bursaphelenchus","Aphelenchoididae","Tylenchida","Chromadorea","Nematoda","survival","",8,"metrics","yes","max","max","yes, exact",17.5,33.7,1.7,"29",".","temperate","560","terrestrial","plant","no endotherm in life cycle","outside host","outside host: targets plant","Kikuchi, T. et al. 2011. PLoS Pathogens, 7(9), p.e1002219."
37,"Journal of Parasitology","Lo and Lee",1996,"Centrocestus_formosanus","Centrocestus","Heterophyidae","Opisthorchiida","Trematoda","Platyhelminthes","survival","200 cercariae at each temperature",6,"metrics","yes","50%","mid","no, author loc",20.4,29.4,11.4,".","25","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
38,"Journal of Parasitology","Lo and Lee",1996,"Centrocestus_formosanus","Centrocestus","Heterophyidae","Opisthorchiida","Trematoda","Platyhelminthes","survival","200 cercariae at each temperature",6,"metrics","yes","max","max","no, author loc",20.4,29.4,11.4,".","25","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
103,"Comparative Biochemistry and Physiology. Part A: Molecular & Integrative Physiology","Young et al.",1984,"Cercaria_caribbea","Cercaria",NA,NA,"Trematoda","Platyhelminthes","survival",".",7,"other","no","50%","mid","yes, exact",26.2,31.4,20.5,"18",".","tropical","31","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Han et al. 2012. Korean J Parasitol.  50(2): 177–180."
91,"Journal of Fish Biology","Moller",1978,"Contracaecum_aduncum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda","survival","100 per temperature",5,"other","no","50%","mid","yes, exact",8.1,21.5,-2.5,"54",".","temperate","20","marine","animal","no endotherm in life cycle","in host","in invert","Navone, G.T., et al.  1998. Parasite, 5(2): 127-136."
92,"Journal of Fish Biology","Moller",1978,"Contracaecum_aduncum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda","development","100 per temperature",6,"other","no","50%","mid","yes, exact",8.1,21.5,-2.5,"54",".","temperate","20","marine","animal","no endotherm in life cycle","outside host","outside host: targets invert","Navone, G.T., et al.  1998. Parasite, 5(2): 127-136."
161,"Canadian Bulletin of Fisheries and Aquatic Sciences","Brattey",1990,"Contracaecum_osculatum","Contracaecum","Anisakidae","Ascaridida","Chromadorea","Nematoda","development","3 replicates for each temperature; each replicate used eggs from a different female worm",6,"other","no","mean","mid","yes, exact",1.6,19.1,-14.8,"51",".","temperate","7","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
6,"Journal of Parasitology","Boag and Thomas",1985,"Cooperia_curticei","Cooperia","Cooperiidae","Rhabditida","Chromadorea","Nematoda","survival","3 replicates for each temperature with sample size 200 within each replicate",6,"other","no","50%","mid","no, author loc",8,18.5,-0.4,".","55","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
9,"Journal of Parasitology","Boag and Thomas",1985,"Cooperia_oncophora","Cooperia","Cooperiidae","Rhabditida","Chromadorea","Nematoda","survival","3 replicates for each temperature with sample size 200 within each replicate",6,"other","no","50%","mid","no, author loc",8,18.5,-0.4,".","55","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
95,"Journal of Fish Biology","Moller",1978,"Cryptocotyle_lingua","Cryptocotyle","Heterophyidae","Opisthorchiida","Trematoda","Platyhelminthes","survival","100 per temperature",6,"other","no","50%","mid","yes, exact",8.1,21.5,-2.5,"54",".","temperate","20","marine","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
26,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Rupasinghe and Ogbourne",1978,"Cyathostomum_catinatum","Cyathostomum","Strongylidae","Rhabditida","Chromadorea","Nematoda","development","sample size not large enough for statistical analysis",15,"other","no","min","min","yes, exact",9.3,20.4,0.8,"51",".","global","76","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
29,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Rupasinghe and Ogbourne",1978,"Cyathostomum_pateratum","Cyathostomum","Strongylidae","Rhabditida","Chromadorea","Nematoda","development","sample size not large enough for statistical analysis",15,"other","no","min","min","yes, exact",9.3,20.4,0.8,"51",".","global","76","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
30,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Rupasinghe and Ogbourne",1978,"Cylicocyclus_nassatus","Cylicocyclus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development","sample size not large enough for statistical analysis",15,"other","no","min","min","yes, exact",9.3,20.4,0.8,"51",".","global","76","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
123,"Parasitology","Ogbourne",1972,"Cylicocyclus_spp.","Cylicocyclus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development",".",7,"metrics","yes","min","min","no, author loc",9.3,20.4,0.8,".","51","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Corning, S., 2009. Parasites & Vectors, 2(2): S1."
124,"Parasitology","Ogbourne",1972,"Cylicocyclus_spp.","Cylicocyclus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development",".",7,"metrics","yes","max","max","no, author loc",9.3,20.4,0.8,".","51","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Corning, S., 2009. Parasites & Vectors, 2(2): S1."
125,"Parasitology","Ogbourne",1972,"Cylicocyclus_spp.","Cylicocyclus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development",".",7,"metrics","yes","midpoint","mid","no, author loc",9.3,20.4,0.8,".","51","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Corning, S., 2009. Parasites & Vectors, 2(2): S1."
27,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Rupasinghe and Ogbourne",1978,"Cylicostephanus_goldi","Cylicostephanus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development","sample size not large enough for statistical analysis",15,"other","no","min","min","yes, exact",9.3,20.4,0.8,"51",".","global","76","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
28,"Z Parasitenkd (Zeitschrift fur Parasitenkunde - Parasitology Research)","Rupasinghe and Ogbourne",1978,"Cylicostephanus_longibursatus","Cylicostephanus","Strongylidae","Rhabditida","Chromadorea","Nematoda","development","sample size not large enough for statistical analysis",15,"other","no","min","min","yes, exact",9.3,20.4,0.8,"51",".","global","76","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
41,"Vestnik Ceskoslovenske Spolecnosti Zoologicke","Valkounova",1980,"Dicranotaenia_coronula","Dicranotaenia","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","development","2200",4,"other","no","mean","mid","no, author loc",7.9,23.2,-5,".","50","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Marinova, M.H. et al. 2013. Acta Zoologica Bulgarica, 65(4): 537-546."
7,"Journal of Parasitology","Boag and Thomas",1985,"Dictyocaulus_filaria","Dictyocaulus","Dictyocaulidae","Rhabditida","Chromadorea","Nematoda","survival","3 replicates for each temperature with sample size 200 within each replicate",6,"other","no","50%","mid","no, author loc",8,18.5,-0.4,".","55","global",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
160,"Tapeworms (Cestoda, Ligulidae) of the fauna of the USSR [BOOK]","Dubinina",1980,"Digramma_interrupta","Digramma","Diphyllobothriidae","Diphyllobothriidea","Cestoda","Platyhelminthes","development","",6,"other","no","mean","mid","no, author loc",4.7,23.4,-12.7,".","56","temperate",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
146,"Canadian Journal of Zoology ","Mace and Anderson",1975,"Dioctophyme_renale","Dioctophyma","Dioctophymidae","Dioctophymatoidea","Enoplea","Nematoda","development","",8,"other","no","50%","mid","yes, exact",5.1,25,-15.2,"45",".","global","219","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
42,"Vestnik Ceskoslovenske Spolecnosti Zoologicke","Valkounova",1980,"Diorchis_inflata","Diorchis","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","development","850",4,"other","no","mean","mid","no, author loc",7.9,23.2,-5,".","50","temperate",".","freshwater","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
43,"Vestnik Ceskoslovenske Spolecnosti Zoologicke","Valkounova",1980,"Diorchis_nyrocae","Diorchis","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","development","4900",4,"other","no","mean","mid","no, author loc",7.9,23.2,-5,".","50","temperate",".","freshwater","animal","endotherm in life cycle","in host","in invert","Marinova, M.H. et al. 2013. Acta Zoologica Bulgarica, 65(4): 537-546."
44,"Vestnik Ceskoslovenske Spolecnosti Zoologicke","Valkounova",1980,"Diorchis_ransomi","Diorchis","Hymenolepididae","Cyclophyllidea","Cestoda","Platyhelminthes","development","850",4,"other","no","mean","mid","no, author loc",7.9,23.2,-5,".","50","temperate",".","freshwater","animal","endotherm in life cycle","in host","in invert","Marinova, M.H. et al. 2013. Acta Zoologica Bulgarica, 65(4): 537-546."
139,"Acta Parasitologica Polonica","Guttowa",1961,"Diphyllobothrium_latum","Diphyllobothrium","Diphyllobothriidae","Diphyllobothriidea","Cestoda","Platyhelminthes","development","",8,"other","no","midpoint","mid","yes, exact",5.3,22.2,-10.4,"56",".","temperate","112","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
140,"Acta Parasitologica Polonica","Guttowa",1961,"Diphyllobothrium_latum","Diphyllobothrium","Diphyllobothriidae","Diphyllobothriidea","Cestoda","Platyhelminthes","survival","",5,"other","no","midpoint","mid","yes, exact",5.3,22.2,-10.4,"56",".","temperate","112","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
170,"Journal of Nematology","Griffith, G. S., Cook, R., Mizen, K. A.",1997,"Ditylenchus_dipsaci","Ditylenchus","Anguinidae","Tylenchida","Chromadorea","Nematoda","development","",5,"life stages","no","mean","mid","yes, exact",9.3,19.1,1.1,"52",".","temperate","9","terrestrial","plant","no endotherm in life cycle","in host","in plant","http://nemaplex.ucdavis.edu/Taxadata/G042s1.aspx"
171,"Journal of Nematology","Griffith, G. S., Cook, R., Mizen, K. A.",1997,"Ditylenchus_dipsaci","Ditylenchus","Anguinidae","Tylenchida","Chromadorea","Nematoda","development","",5,"life stages","no","mean","mid","yes, exact",9.3,19.1,1.1,"52",".","temperate","9","terrestrial","plant","no endotherm in life cycle","in host","in plant","http://nemaplex.ucdavis.edu/Taxadata/G042s1.aspx"
119,"Canadian Journal of Zoology ","Gibbs and Gibbs",1959,"Uncinaria_stenocephala","Dochmoides","Ancylostomatidae","Rhabditida","Chromadorea","Nematoda","development",".",6,"other","no","min","min","no, author loc",4.5,25.1,-17.1,".","46","temperate",".","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets vertebrate","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
61,"Journal of Helminthology","Morley et al.",2007,"Echinoparyphium_recurvatum","Echinoparyphium","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival",".",7,"metrics","yes","50%","mid","yes, exact",10.1,21.8,0.9,"51",".","global","10","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
62,"Journal of Helminthology","Morley et al.",2007,"Echinoparyphium_recurvatum","Echinoparyphium","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival",".",7,"metrics","yes","mean","mid","yes, exact",10.1,21.8,0.9,"51",".","global","10","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
84,"Parasitology","McCarthy",1999,"Echinoparyphium_recurvatum","Echinoparyphium","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","120 cercaria at each temperature",5,"other","no","mean","mid","yes, exact",9.9,21.7,0.3,"51",".","global","46","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
94,"Journal of Fish Biology","Moller",1978,"Echinorhynchus_gadi","Echinorhynchus","Echinorhynchidae","Echinorhynchida","Palaeacanthocephala","Acanthocephala","survival","100 per temperature",5,"other","no","50%","mid","yes, exact",8.1,21.5,-2.5,"54",".","temperate","20","marine","animal","no endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
74,"Journal of Helminthology","Fried and Ponder",2003,"Echinostoma_caproni","Echinostoma","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","50 cercaria per temperature",4,"metrics","yes","50%","mid","no, author loc",9.2,28.3,-9.2,".","41","temperate",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
75,"Journal of Helminthology","Fried and Ponder",2003,"Echinostoma_caproni","Echinostoma","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","50 cercaria per temperature",4,"metrics","yes","max","max","no, author loc",9.2,28.3,-9.2,".","41","temperate",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
81,"Journal of Helminthology","Ford et al.",1998,"Echinostoma_caproni","Echinostoma","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","270",9,"other","no","50%","mid","no, author loc",11.1,30.5,-9.2,".","40","temperate",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
87,"Parasitology","Evans",1985,"Echinostoma_liei","Echinostoma","Echinostomatidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","90 to 120 cercaria per temperature",6,"other","no","mean","mid","yes, exact",20.4,35.1,4.1,"29",".","tropical","177","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
99,"Oikos","Halvorsen and Skorping",1982,"Elaphostrongylus_rangiferi","Elaphostrongylus","Protostrongylidae","Rhabditida","Chromadorea","Nematoda","development",".",5,"hosts","no","min","min","yes, exact",0.6,13.6,-8.9,"70",".","polar","70","terrestrial","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
100,"Oikos","Halvorsen and Skorping",1982,"Elaphostrongylus_rangiferi","Elaphostrongylus","Protostrongylidae","Rhabditida","Chromadorea","Nematoda","development",".",5,"hosts","no","min","min","yes, exact",0.6,13.6,-8.9,"70",".","polar","70","terrestrial","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
214,"Holarctic Ecology","Lorentzen, G., Halvorsen, O.",1986,"Elaphostrongylus_rangiferi","Elaphostrongylus","Protostrongylidae","Rhabditida","Chromadorea","Nematoda","survival","",6,"metrics","yes","50%","mid","yes, exact",0.6,13.6,-8.9,"70",".","polar","61","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
215,"Holarctic Ecology","Lorentzen, G., Halvorsen, O.",1986,"Elaphostrongylus_rangiferi","Elaphostrongylus","Protostrongylidae","Rhabditida","Chromadorea","Nematoda","survival","",6,"metrics","yes","max","max","yes, exact",0.6,13.6,-8.9,"70",".","polar","61","terrestrial","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
71,"Proceedings of the Royal Irish Academy. Section B: Biological, Geological and Chemical Science.","Al-Habbib and Grainger",1983,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","development",".",12,"life stages","no","mean","mid","no, author loc",9.5,18.9,2.2,".","53","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
72,"Proceedings of the Royal Irish Academy. Section B: Biological, Geological and Chemical Science.","Al-Habbib and Grainger",1983,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","200",5,"other","no","mean","mid","no, author loc",9.5,18.9,2.2,".","53","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
73,"Proceedings of the Royal Irish Academy. Section B: Biological, Geological and Chemical Science.","Al-Habbib and Grainger",1983,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","development","10450 cercariae",7,"life stages","no","mean","mid","no, author loc",9.5,18.9,2.2,".","53","global",".","freshwater","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
114,"Parasitology","Smith and Grenfell",1984,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","15 miracidia per temperature",6,"metrics","yes","50%","mid","no, author loc",10.1,21.8,0.9,".","51","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
115,"Parasitology","Smith and Grenfell",1984,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","survival","15 miracidia per temperature",6,"metrics","yes","max","max","no, author loc",10.1,21.8,0.9,".","51","global",".","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
143,"Thesis (D. Phil. University of York, Biology Department)","Nice",1979,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","development","3 groups of 15 snails per temperature treatment, each snail was individually exposed to 5 miracidia",4,"other","no","min","min","yes, exact",8.6,19.5,0.1,"54",".","global","88","freshwater","animal","endotherm in life cycle","in host","in invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
166,"Veterinary Journal","Claxton, J. R., Sutherst, J., Ortiz, P., Clarkson, M. J.",1999,"Fasciola_hepatica","Fasciola","Fasciolidae","Plagiorchiida","Trematoda","Platyhelminthes","development","",5,"other","no","mean","mid","yes, exact",14.9,22.8,5.7,"-7",".","global","2750","freshwater","animal","endotherm in life cycle","outside host","outside host: targets invert","Natural History Museum of London host-parasite database (www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/)"
